customer_tweet_id,customer_text,true_intent,predicted_intent,classifier_confidence,classifier_method,true_escalate,predicted_escalate,true_escalation_reason,predicted_escalation_reason
1547229,@115830 Not sure how 3 days to deliver an item is considered Prime service. #badservice #nextdaydelivery,delivery_delay,delivery_delay,0.2975253511059119,ml,False,False,none,none
659415,@AmazonHelp your customer service to those with disabilities is horrendous and you should be ashamed. I'm wheelchair bound. 1 of/,other_general,other_general,0.25281208598850213,ml,True,False,needs_human_support,none
818202,@AmazonHelp Consistently. I would really prefer actual dates to “guaranteed” ones. No matter the cost.,delivery_delay,other_general,0.1862492883719764,ml,True,True,delivery_issue,low_intent_confidence
2663165,"@120540 come mai ho ordinato un libro il 6 novembre, che sarebbe dovto arrivare il 16 novembre ma non mi è ancora arrivato? Se vado negli ordini in corso dice : spedito... ma ho paura che il pacco non arrivi più.",delivery_delay,delivery_delay,0.24687239969103125,ml,True,False,delivery_issue,none
130769,@115850 @132994 ne ayya exchange pettu ra🙏🙏,return_replacement,return_replacement,0.88,rule,False,False,none,none
379433,"Had an @115830 USB lightening cable for a month n it's packed in already, cba man😴",technical_product_issue,delivery_delay,0.1571478268781755,ml,False,True,none,low_intent_confidence
1071144,@115830 can you DM about an aftersales issue. Thanks,other_general,other_general,0.28517186432442704,ml,True,True,needs_human_support,needs_human_support
312990,@AmazonHelp  https://t.co/Zu0qMvIX5G,other_general,other_general,0.19743143555930628,ml,False,True,none,low_intent_confidence
2777346,@AmazonHelp Problème réglé :),other_general,other_general,0.20487439299065915,ml,False,False,none,none
1445308,@AmazonHelp I wasn’t able to find the promo again or chose another book,other_general,other_general,0.17905309824602325,ml,True,True,needs_human_support,low_intent_confidence
2149535,"@AmazonHelp Ok but when placing an order, your site always tells you if the item is eligible for P.O. box delivery or not. My order was processed and went through with no issues",order_status_tracking,delivery_delay,0.23135692404929475,ml,True,False,delivery_issue,none
215978,@AmazonHelp  I jus received a msg for refund success of INR.499/-  however it has not reflected in my bank account. Dis should have been done in October itself. Bloody cheap service as usual by @AmazonHelp,refund_issue,refund_issue,0.9,rule,True,True,delayed_refund,delayed_refund
1763842,@115830 Prime fail .... might be with you by Friday .... not really next working day is it? Don't promise if you can't deliver!  #fail #primefail #prime #AmazonPrime https://t.co/j0Z0mjpFb3,delivery_delay,delivery_delay,0.2142987188415142,ml,True,False,delivery_issue,none
580655,@AmazonHelp Nothing at all it just said address is undeliverable. I really need it too which is what is more annoying than anything. I've been waiting over a week already for it. Decided to buy from you instead of local which I'm regretting now.,delivery_delay,delivery_delay,0.1791331207311441,ml,True,True,delivery_issue,low_intent_confidence
1358102,"When @115830 Email saying your parcel will be here by 8pm.. It’s nearly 9pm and it’s not here, so much for ‘Amazon Prime’🖕🏼😭",delivery_delay,order_status_tracking,0.16950463361691037,ml,True,True,delivery_issue,low_intent_confidence
1355416,"@AmazonHelp Nope... 😔
It was a gift....",other_general,other_general,0.1863215562178945,ml,False,True,none,low_intent_confidence
2424519,@117795 parcels are not coming next day #whyamipayingforprime,delivery_delay,delivery_delay,0.19300247356179756,ml,True,True,delivery_issue,low_intent_confidence
980691,@AmazonHelp 問い合わせ先が見つからず困っておりました。ありがとうございます。,other_general,other_general,0.23255318893194057,ml,False,False,none,none
306558,@AmazonHelp https://t.co/fmgg5St9VX is unresponsive.. The maker is a month old and stopped working. We would like to have it replaced,return_replacement,technical_product_issue,0.1854045232201092,ml,False,True,none,low_intent_confidence
1092429,@116316 Das ist schonmal was. Vielen lieben Dank :),other_general,other_general,0.19628804119535054,ml,False,True,none,low_intent_confidence
71890,Bonjour @120533 je voudrais savoir si un jour vous comptez mettre comme moyen de paiement la carte Maestro ? Merci beaucoup,payment_billing,other_general,0.19297265040088074,ml,False,True,none,low_intent_confidence
1234092,@AmazonHelp my parcel said it was delivered and signed for by me yesterday but i wasn't in. I can't find the parcel - can you help please?,missing_package,delivery_delay,0.1881328807046299,ml,True,True,missing_package,low_intent_confidence
534144,"@AmazonHelp Juste marre de jouer au chat et souris ....
Pour moi c'est pas grave....Des offres y'en a partout mais au vu de la manière...Les 3 ou 4 retraits ""incompréhensibles"" d'amazon, on demandera le remboursement Justificatifs à l'appui...On le fera aujourdhui
Merci bon courage",payment_billing,other_general,0.17626206397255909,ml,True,True,needs_human_support,low_intent_confidence
2977461,@116313 アマゾンにお気に入り登録した商品、在庫切れが多いような？、仕方ないから他のショップで探して購入してるけど、在庫切れ入荷するのかしないのか表示対応してほしいな～。,other_general,other_general,0.19362744355438027,ml,False,True,none,low_intent_confidence
497290,@AmazonHelp https://t.co/O6Mf9WBWMR,other_general,other_general,0.19743143555930628,ml,True,True,needs_human_support,low_intent_confidence
2880426,"Le principe, c'est d'acheter *un* cadeau de Noël au meilleur prix. Ben avec @115821 c'est pas forcément simple. https://t.co/f9oucvQwal",other_general,order_status_tracking,0.2024706376861932,ml,False,False,none,none
2840267,"@AmazonHelp I have read that communication. It is of no help. No one is even trying to understand, why i complained",other_general,other_general,0.21305577740362072,ml,True,False,needs_human_support,none
2962796,When @115821’s 2 day delivery turns into 3 days.............. 🙄,delivery_delay,delivery_delay,0.2723433412959499,ml,False,False,none,none
570007,"@AmazonHelp Package status says received, but i didnt get it, Amazon told me to call in a police report, i did. Amazon got the police report number, told me they would contact the police to verify the report, that was Nov 3rd, i get told they will call monday, 4 mondays in a row and nothing",missing_package,delivery_delay,0.15583218678035274,ml,True,True,missing_package,low_intent_confidence
1390969,@AmazonHelp I have done so but Still I Don't hope anything to be done from your side As I know how useless you guys are,other_general,other_general,0.17217740096160314,ml,True,True,needs_human_support,low_intent_confidence
317448,"@AmazonHelp @15673 Ach komisch, auf dem Smartphone geht’s wieder.",technical_product_issue,other_general,0.17932716291565468,ml,False,True,none,low_intent_confidence
402188,Why is it always the important /urgent @115830 #prime deliveries that never make it by 9pm after waiting in all day? 👎,delivery_delay,delivery_delay,0.19665532936402752,ml,True,True,delivery_issue,low_intent_confidence
