customer_tweet_id,gold_intent,predicted_intent,gold_escalate,predicted_escalate,generic_reply,retrieval_reply,agent_reply,generic_actionability,retrieval_actionability,agent_actionability,generic_customer_similarity,retrieval_customer_similarity,agent_customer_similarity,generic_reference_overlap,agent_reference_overlap,retrieval_reference_overlap
1547229,delivery_delay,delivery_delay,no,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@529830 Thanks for confirming! Since this requires account access, please contact here: https://t.co/233GuUIPkP for a full review. ^TM",I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.05128205128205128,0.06060606060606061,1.0
659415,other_general,other_general,yes,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@480784 Thanks 🙂 You are welcome. Kind regards ^TR,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.03125,0.03125,1.0
818202,delivery_delay,other_general,yes,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@171997 A £1.00 authorisation charge can happen at dispatch, even if it's no cost. The charge will fall off in a day or two. ^MJ",I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.024805569972284672,0.0,0.041666666666666664,0.057692307692307696,1.0
2663165,delivery_delay,delivery_delay,yes,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@743821 Ciao Alex, mi dispiace per l'inconveniente. Permettici di verificare la situazione da te descritta. Clicca su questo link https://t.co/YqSLjWtQtI e inserisci i dati richiesti, sarai ricontattato via e-mail, dal mio Team, quanto prima. A presto! ^MP",I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,1.0,0.0,0.6666666666666666,0.0,0.006776965239595606,0.0,0.01639344262295082,0.01818181818181818,1.0
130769,return_replacement,return_replacement,no,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@159034 Our Twitter page is visible to the public. (4/4)^AU,I can help with your return or replacement request. Please provide the relevant order details so the next steps can be determined.,1.0,0.0,1.0,0.0,0.0,0.0,0.02857142857142857,0.03333333333333333,1.0
379433,technical_product_issue,delivery_delay,no,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@528569 I understand your love for music :) It will be expanded to other devices and platforms in the future. Please stay tuned! ^BS,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.11627906976744186,0.08163265306122448,1.0
1071144,other_general,other_general,yes,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@262972 Hi, We're sorry for the inconvenience! We want to make sure we’re providing the best solution for you. In this case, we recommend you to contact our Customer Support, please click the following link: https://t.co/qGpkDwGRhX ^HC",I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.3333333333333333,1.0,0.03506328240466535,0.0,0.0279721189839776,0.14893617021276595,0.1346153846153846,1.0
312990,other_general,other_general,no,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.12195121951219512,0.10869565217391304,1.0
2777346,other_general,other_general,no,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.12195121951219512,0.12195121951219512,1.0
1445308,other_general,other_general,yes,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.12195121951219512,0.10869565217391304,1.0
2149535,order_status_tracking,delivery_delay,yes,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@409483 Hi Clark. We'd like to help the best we can. Has the delivery date for your order changed? ^HC,I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,1.0,0.0,0.6666666666666666,0.039343122498719484,0.06591009949518281,0.06591009949518281,0.1,0.15151515151515152,1.0
215978,refund_issue,refund_issue,yes,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@332123 Just to clarify, what shipping method is shown for your item? Did you start a Prime membership with this order? ^DW",I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.06818181818181818,0.10638297872340426,1.0
1763842,delivery_delay,delivery_delay,yes,False,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@248244 I am sorry for your disappointment with this order! It is never our intention! Have we missed a delivery date quoted in your confirmation email? You can check here:  https://t.co/aaDyEz1VgE Let us know Karl, we are here to help! ^DJ",I'm sorry your package is delayed. Please check the current tracking status of your order for the latest delivery information.,1.0,0.3333333333333333,0.6666666666666666,0.0,0.014263543899441908,0.0,0.12727272727272726,0.16666666666666666,1.0
580655,delivery_delay,delivery_delay,yes,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,"@139823 We don't have access to accounts over Twitter. However, you can reply to the e-mail you received with any questions. ^AJ",I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.3333333333333333,1.0,0.0,0.0,0.014770660451514424,0.09302325581395349,0.08333333333333333,1.0
1358102,delivery_delay,order_status_tracking,yes,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@339804 Thanks for reaching out! The discount is still available for Prime members. More info here: https://t.co/Mk7PWqA4ZR ^GG,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.027516467115510503,0.0,0.025,0.022222222222222223,1.0
1355416,other_general,other_general,no,True,I'm sorry you're experiencing this issue. Please provide the relevant order details so we can better understand the problem and determine the appropriate next steps.,@131073 Please write to us via DM with your concern and we'll be glad to assist you with this right away. ^BV,I'm sorry you're experiencing this issue. I've identified that this case should be reviewed by a human support agent. A support agent can review the order details and help with the next steps.,1.0,0.0,1.0,0.0,0.0,0.0,0.12195121951219512,0.10869565217391304,1.0
